x,y,z,scalar_value
254.196899,118.999992,48,0
301,123.765732,86,0
58.953896,58.781639,36.798,0
251,61,94.192,0
53.85228,20.721032,63.979,0
122.925652,95.678574,61.974,0
264.677765,79,54,0
44.969143,56.853848,34.986,0
184.997528,56.243004,43.999,0
94.945808,28.743324,99.79,0
63.302982,80.760727,45.982,0
232.614029,95,90,0
73.99176,36.648193,59.974,0
279,87.727173,60,0
201,29.409357,66,0
183.669891,118.932343,63.995,0
60.961697,127.073128,81.987,0
121.923912,164.674637,45.976,0
112.933777,48.68634,41.058,0
197.931274,98.997856,98,0
31.842581,84.921547,53.994,0
158.988281,7.731824,35.996,0
118.946777,30.747936,32.522,0
132.302414,56.724155,69.98,0
239.000015,41,123.0968,0
301,347,35.346,0
90.934875,96.691551,40.405,0
217,57.820477,104,0
76.972092,214.867813,44.091,0
213.176285,99,66,0
82.932732,22.681381,86.443,0
13,143,42.578,0
165.156784,4.970176,33.998,0
136.962372,16.821781,39.48,0
84.952156,157.627808,99.983,0
203.267578,49,58,0
166.97879,73.129913,57.993,0
122.933121,130.683228,43.56,0
72.41864,338.982697,55.999,0
204.987915,226.942688,52.779,0
195.509933,25,54,0
152.96608,86.839348,91.71,0
106.923134,90.540276,51.973,0
273,33,42.216,0
6.999054,54.995518,93.579,0
253.504715,183.025482,92.348,0
283,155.513199,50,0
245.693466,23,102,0
184.747147,80.968605,57.998,0
88.943367,28.731764,97.778,0
227.300034,97,42,0
38.971603,40.163261,33.99,0
118.95105,68.768162,102.9897,0
54.975529,160.809784,61.991,0
187,9,38.898,0
249,197,44.208,0
235.524231,31,82,0
166.990906,32.956911,36.047,0
69.921783,88.711052,65.979,0
180.977356,166.892776,47.667,0
110.942047,52.725513,95.519,0
64.946098,85.173073,51.981,0
174.986435,81.895668,81.995,0
8.998686,50.993778,25.66,0
235,51.094131,122,0
110.938728,271.298553,89.978,0
8.994865,16.975677,27.445,0
277,302.119446,58,0
148.055099,66.798069,61.985,0
18.249644,80.978653,85.998,0
78.943756,129.531517,85.98,0
283,321,50.659,0
144.954544,63.552116,59.984,0
58.945755,15.586864,85.981,0
130.931175,108.674019,77.84,0
50.992786,172.965836,112.8946,0
51,379,61.471,0
128.945847,90.743523,96.253,0
70.349785,58.698044,77.978,0
230.999985,229,49.074,0
297.561432,117,92,0
116.726433,36.689701,45.977,0
60.94891,76.758026,50.478,0
293,199.900558,78,0
16.99461,56.974476,32.651,0
50.967392,78.845558,37.158,0
269.160583,323,52,0
182.97731,180.892548,46.619,0
134.945068,52.73983,62.056,0
92.986595,370.936523,59.494,0
293,339,31.558,0
130.95192,92.77227,30.753,0
180.999664,6.998385,36.354,0
170.924789,329.872803,87.974,0
120.773621,116.63308,73.973,0
263,118.750755,92,0
23,206.999985,79.602,0
10.996165,40.981838,30.714,0
150.942932,164.753418,51.98,0
62.658085,80.743271,57.981,0
120.926125,94.934753,55.974,0
206.445114,41,106,0
178.039078,86.948524,45.996,0
118.941948,332.1185,73.983,0
147.749725,66.797165,59.985,0
202.991028,196.664963,51.997,0
204.965607,324.837036,104.8095,0
174.969543,178.855728,46.061,0
57.874424,160.87027,79.99,0
261.727081,173.71814,96.627,0
237,103,84.824,0
28.997133,136.986435,38.28,0
132.95591,36.791157,36.671,0
187.79216,60.987034,65.999,0
54.959633,62.808792,35.956,0
100.932823,120.681847,42.378,0
255,33,42.383,0
295,147,50.325,0
138.266617,56.755718,57.982,0
253,47,94.631,0
281,39,44.82,0
26.996006,118.981071,38.661,0
79.174339,268.873993,79.991,0
108.935577,152.694885,98.704,0
154.973389,56.873981,41.85,0
217,45,79.628,0
220.106461,180.396469,88.624,0
33.037136,8.830733,69.987,0
191.730591,58.996689,82,0
18.986863,10.937779,27.409,0
43,401,63.995,0
6.996091,22.491055,29.999,0
269,41,58.974,0
211,65,97.971,0
48.948177,18.684145,71.982,0
50.953941,16.781847,32.443,0
126.934082,144.316071,43.977,0
245,21,38.603,0
64.980762,209.178238,47.993,0
303,209,50.052,0
6.996671,30.984232,32.285,0
285,59,46.366,0
251,68.481789,74,0
212.265411,35,82,0
146.288101,388.680664,69.976,0
52.999996,369,58.854,0
15.305698,76.987938,91.999,0
30.976231,10.887424,26.868,0
287,149,51.34,0
26.988918,92.94751,60.951,0
66.540371,58.736469,39.98,0
174.23671,196.830887,47.987,0
148.938049,194.706558,50.902,0
48.967274,66.845001,35.525,0
281,35,44.655,0
198.392456,47,54,0
58.990337,201.860001,111.9966,0
32.993311,120.968315,36.545,0
72.32341,290.953278,51.997,0
293,137,47.461,0
243.116531,178.120102,94.092,0
226.752365,85,90,0
208.991394,224.959259,52.589,0
62.140629,76.739777,59.981,0
267,53,67.866,0
66.94088,32.719994,36.16,0
279,113,104.8564,0
249,79.672356,76,0
5.894849,66.99379,50,0
80.931923,12.677568,84.836,0
39,386.392548,62,0
291,133.309677,52,0
128.929016,136.663803,52.345,0
223,76.341446,92,0
196.999985,50.562946,76,0
158.461914,76.851799,75.989,0
210.999954,122.482246,62,0
84.998047,402.02652,51.999,0
44.26963,148.925797,59.994,0
68.935005,64.692162,59.787,0
257,197,38.141,0
130.944305,58.181423,45.98,0
8.999873,92.999397,92.446,0
18.995567,99.584854,63.998,0
10.998863,96.994621,70.816,0
140.968079,10.848795,39.641,0
67.459213,104.775627,43.983,0
80.959801,184.809616,44.391,0
146.94223,156.726379,92.67,0
94.96489,274.83371,51.255,0
170.985321,76.063629,43.995,0
245,23,92.931,0
242.70015,37,88,0
249,77,73.044,0
71.660446,40.700775,83.978,0
301,338.483276,32,0
137.773026,122.702293,51.978,0
237.187881,139.498032,64.417,0
186.19519,86.979538,91.998,0
138.930923,161.74147,55.976,0
35.852713,184.993027,101.9995,0
203,18.188426,66,0
136.903793,114.752014,37.982,0
112.944672,76.737946,100.8536,0
297.796265,197,90,0
175.093628,16.989031,33.999,0
232.591827,182.830887,81.366,0
263,195.74472,60,0
124.924423,112.642044,65.178,0
61.88649,112.814552,43.986,0
267.37677,161.242615,95.218,0
294.373199,193,42,0
96.975662,134.713364,97.979,0
237,15,50.285,0
150.967667,68.150318,39.989,0
218.236435,240.972687,59.998,0
206.999893,125.916824,98,0
191.151443,68.994892,88,0
142.961166,82.816063,97.859,0
257,101,97.546,0
96.930252,86.669655,88.49,0
40.958942,13.897984,77.986,0
52.955879,42.791054,36.612,0
182.976761,186.889938,45.537,0
54.955086,48.787247,37.124,0
102.941185,56.72142,97.576,0
251,148.051025,64,0
126.949165,82.759216,99.343,0
148.975082,24.881994,37.485,0
174.937988,319.699493,105.9782,0
148.939438,188.159058,49.979,0
70.928848,36.662996,54.01,0
283,109.49192,102,0
227,121,48.782,0
209,5.979411,48,0
225,63,82.21,0
116.166641,30.676046,53.976,0
190.998764,102.994141,108.4943,0
235,69,69.397,0
152.917587,204.728973,51.084,0
212.987442,262.940521,58.353,0
42.989182,142.948761,39.366,0
191,25,39.586,0
162.982452,52.916927,41.933,0
64.937626,24.704573,80.319,0
132.953171,62.778217,93.182,0
50.962421,56.822006,35.611,0
211.106354,304.883698,65.991,0
80.935448,42.694267,35.079,0
98.94548,20.741783,98.004,0
192.999039,72.212662,46,0
237.538818,57,114,0
186.991852,108.961388,50.815,0
130.272942,98.672729,71.976,0
122.983162,92.689491,87.977,0
28.61879,74.92511,55.994,0
14.996612,72.19812,87.999,0
203,50.467823,78,0
218.980881,57,70,0
45.703491,136.915787,85.994,0
190.999969,36.999836,41.448,0
170.97348,134.874329,93.152,0
164.970215,124.858894,94.266,0
12.999151,84.943901,96,0
256.370392,148.608246,94.757,0
56.940697,20.249606,73.979,0
62.945812,10.74335,90.25,0
116.2873,20.690305,49.977,0
58.963131,128.046463,77.987,0
71.727028,62.686722,73.977,0
114.934807,28.495609,77.977,0
297,92.718666,58,0
201,73,94.174,0
249,187,42.828,0
301,12.984505,44,0
94.992081,400.962494,55.018,0
144.955902,65.444298,51.985,0
253,109,95.107,0
283,167.784348,72,0
74.944344,100.736404,43.723,0
15,215,40.126,0
24.983952,22.923994,28.19,0
303,132.447037,46,0
112.938286,11.367247,39.978,0
44.980804,131.075203,81.993,0
140.936264,206.698074,46.605,0
10.999335,106.607933,64,0
78.98336,284.921204,51.824,0
72.818832,36.722345,31.979,0
174.982742,112.918266,92.761,0
92.931381,86.674995,88.439,0
194.697418,27,46,0
244.994324,358.196228,81.998,0
118.944618,36.737696,34.282,0
191,17,39.369,0
44.975353,84.883263,36.949,0
88.93924,62.712204,95.348,0
267.149841,172.301056,97.395,0
204.999756,128.998764,101.66,0
180.989304,111.693466,95.996,0
94.929367,89.254158,43.975,0
115.935974,20.702182,43.978,0
127.158516,16.774578,37.983,0
166.992172,31.845919,31.997,0
72.936729,4.70033,87.166,0
253,75,48.546,0
42.990555,177.808762,65.997,0
62.955299,116.788292,56.855,0
73.222458,48.659721,59.975,0
241,80.714027,84,0
48.975403,130.883499,76.964,0
197.776367,19,48,0
68.995956,332.980408,67.504,0
130.403702,56.736923,81.98,0
68.950951,92.767677,39.563,0
140.935944,160.69664,50.41,0
100.941933,238.566498,87.98,0
270.502228,339,68,0
203,51.3997,86,0
5,93.481499,88,0
180.973572,160.071548,75.991,0
133.907394,234.345871,88.218,0
168.985931,84.933342,98.814,0
122.931877,226.677353,51.471,0
104.942192,40.306854,95.98,0
186.933716,360.686035,97.121,0
235,227.000015,47.068,0
58.936852,22.046228,67.978,0
257,217.000015,43.283,0
263,59.365608,80,0
291,132.309181,72,0
263,101,97.41,0
128.938797,176.053192,39.978,0
246.009186,67.000004,82,0
221,153,101.5599,0
258.999969,390.999878,47.531,0
124.951569,74.770615,101.3251,0
114.886383,231.722275,82.052,0
64.240162,26.717098,37.979,0
213,125,52.228,0
44.988682,150.946396,40.736,0
281,25,44.905,0
245,30.058075,56,0
126.92794,99.491463,61.975,0
62.96946,142.855362,96.263,0
262.338867,125,60,0
106.928291,21.879637,73.975,0
275,88.399139,88,0
261,191.81778,72,0
90.93277,20.68159,87.211,0
119.552773,154.623703,77.972,0
102.932983,92.682587,38.689,0
242.999405,314.789978,54,0
4.999177,64.996101,42.625,0
70.968216,170.849457,41.65,0
110.924194,48.509926,59.973,0
233,20.704068,112,0
116.927368,54.527149,59.974,0
24.992184,74.962975,33.165,0
96.932426,112.67997,43.157,0
256.658234,142.537888,91.085,0
273,37,41.709,0
237,47,123.6771,0
291.147858,355,40,0
148.9664,64.840839,39.453,0
195.721588,76.996262,80,0
191.602188,122.966827,51.998,0
186.989243,122.506981,53.996,0
104.961258,337.771667,71.986,0
251,73,87.285,0
240.177979,61,78,0
8.999862,107.955597,52,0
76.939392,30.712938,30.707,0
174.948471,248.022949,59.982,0
261.571381,182.520615,96.154,0
141.674942,112.719238,55.979,0
184.987625,138.94136,97.18,0
200.996475,156.983307,101.6814,0
199,25,60.887,0
42.984879,114.928375,35.75,0
69.480164,50.696136,77.977,0
247.629852,201,42,0
128.924988,133.624435,75.974,0
106.924332,172.641617,79.293,0
45.081367,16.785975,77.984,0
108.927414,15.428217,61.975,0
55.719074,22.727451,45.98,0
114.927025,49.311646,67.974,0
136.799225,108.771889,33.983,0
265.337738,403,46,0
100.941109,64.721088,98.497,0
96.933899,96.686913,39.092,0
12.995953,68.41243,47.999,0
80.961792,219.280014,57.987,0
225.731613,11,56,0
119.600502,168.618134,69.972,0
164.989716,26.951303,37.936,0
92.932678,75.051987,89.976,0
134.020279,180.698547,43.978,0
160.967926,114.848114,93.071,0
62.976002,202.886322,70.905,0
269,385,47.912,0
120.269714,32.719584,81.979,0
122.946281,39.341644,35.981,0
140.960052,76.810768,96.885,0
76.943962,58.734585,94.584,0
28.970209,5.468995,75.99,0
246.986328,33,64,0
164.978745,83.717361,89.993,0
124.932938,202.682373,46.965,0
74.813843,48.659004,69.975,0
291,29,45.07,0
114.932449,228.680054,55.908,0
197.387405,84.994896,66,0
114.941689,6.723821,38.411,0
70.932098,56.678394,56.264,0
188.998795,89.594635,105.9996,0
285,118.999992,103.2668,0
44.992188,170.743576,99.997,0
247.739838,159.549347,98.386,0
40.970062,44.858212,35.212,0
205.000015,50.064995,74,0
140.96524,26.835365,38.812,0
219.391953,130.969139,78.64,0
293,33,45.271,0
69.821915,66.689098,63.977,0
176.990356,82.833672,91.997,0
221,91.065125,86,0
162.221054,76.868362,69.99,0
257,69,90.951,0
82.712036,32.680817,35.976,0
120.946228,16.021182,37.981,0
252.441315,140.747589,87.205,0
291.681732,95,82,0
14.99403,66.029728,71.998,0
72.988876,284.947327,50.783,0
103.72068,12.642707,63.973,0
233,37,122.6577,0
104.939156,74.711777,97.292,0
275,193,55.516,0
230.999985,17.889213,100,0
120.280312,44.69558,77.977,0
265,39,58.86,0
98.949844,258.762436,92.04,0
237,27,86.699,0
182.992416,84.536453,81.997,0
12.99734,60.9874,93.018,0
80.935349,122.693802,63.285,0
62.942612,17.044786,85.98,0
291,134.59758,62,0
114.952217,341.050018,99.983,0
66.955814,90.732292,57.98,0
160.934204,389.581085,59.977,0
166.980942,72.431877,47.993,0
213,129.383881,92,0
30.993132,112.967468,37.448,0
147.313019,80.8321,95.988,0
195.36322,21,42,0
239.000015,87,91.739,0
205.587845,43,102,0
88.930908,18.672746,85.053,0
89.291245,360.92572,73.994,0
243.562363,103,90,0
32.987059,84.938705,35.976,0
261,93,96.672,0
125.735519,370.741302,97.981,0
196.994965,125.331398,71.998,0
257,69,73.194,0
259,194.104767,64,0
192.997772,96.989471,42.433,0
111.470184,42.645718,63.974,0
293,43,46.189,0
188.278137,56.991821,49.999,0
86.965096,271.52243,71.988,0
23,197.776062,68,0
163.618408,156.792465,55.985,0
126.148811,126.638748,63.973,0
84.930679,12.67166,84.184,0
33.842466,112.960266,35.997,0
242.997559,332.988403,107.2067,0
120.222687,138.62149,67.972,0
112.929359,30.665432,70.237,0
97.06002,87.953331,39.868,0
148.953781,94.303391,79.984,0
142.954575,92.784882,92.632,0
142.808716,287.116699,76.196,0
46.961987,22.819946,29.067,0
168.975845,114.885582,91.717,0
92.935646,20.447676,89.977,0
295,131.813217,58,0
105.093712,360.836853,83.988,0
46.962181,34.820873,33.314,0
22.999779,152.998947,39.224,0
299,21,45.393,0
235,28.529335,118,0
137.277023,120.705666,85.978,0
156.982193,30.915684,37.317,0
253,52.168629,80,0
280.063171,331,48,0
72.999275,382.996582,61.065,0
25.518965,106.974777,41.998,0
30.988203,74.944122,31.847,0
267,105,98.339,0
269.055847,83,52,0
59,401,65.026,0
136.94487,95.225891,87.981,0
182.930771,374.672089,103.0066,0
51.863876,156.894119,65.992,0
36.987518,102.94088,35.578,0
34.965158,8.834981,38.752,0
213.719406,41,84,0
54.970543,112.860458,40.081,0
227,27,116.7413,0
50.947712,19.006405,75.982,0
191.617981,154.958649,101.9969,0
249,192.196838,64,0
190.991043,123.667351,69.997,0
230.999985,64.729198,104,0
236.994049,336.971832,107.7841,0
5.470971,50.998226,24,0
118.943352,40.731689,35.282,0
122.928947,96.996681,51.975,0
130.930275,103.297455,69.976,0
54.722511,222.950012,61.996,0
261,242.643417,58,0
297,175,54.548,0
102.336098,138.711594,99.979,0
166.973099,120.87262,93.707,0
86.931137,125.199799,59.976,0
289,41,46.372,0
126.833916,234.340851,88.16,0
176.994308,44.973007,45.597,0
229,61.019344,110,0
172.988586,94.94593,102.2907,0
281,164.571289,58,0
114.932053,93.464897,41.976,0
154.922928,300.633911,94.072,0
116.935516,30.69459,45.892,0
255,132.373299,50,0
259,149,59.615,0
176.991913,72.961678,39.485,0
36.982197,72.91568,32.906,0
73.075653,92.717926,49.979,0
287,161,47.11,0
280.631348,45,44,0
162.951553,161.702866,77.983,0
283,195,96.982,0
47,401,64.543,0
213,103,39.509,0
72.94371,54.733406,91.802,0
192.36145,90.984116,57.999,0
92.929276,16.665026,82.618,0
299,129.000008,78.775,0
189.50676,60.991276,73.999,0
215,131.616402,92,0
98.924835,130.643982,78.887,0
124.017097,48.71756,81.979,0
186.50238,66.981163,67.999,0
245,29,46.584,0
104.936035,18.025939,85.978,0
6.579969,155,42,0
210.979965,362.90509,40.511,0
71.761215,76.705307,77.978,0
229,117,46.945,0
166.993774,18.970533,31.674,0
170.979858,87.637863,73.993,0
146.974686,12.880075,38.868,0
192.993835,121.402061,83.998,0
174.941544,268.271088,91.979,0
182.987686,125.202049,93.996,0
56.994522,230.97406,38.479,0
8.997973,45.906914,27.999,0
40.955803,10.888916,45.984,0
97.539948,130.655746,53.974,0
116.397766,136.62088,73.972,0
132.860939,274.612274,58.133,0
96.940796,18.361629,93.979,0
71.042778,66.692757,73.977,0
61.981449,30.707552,45.978,0
139.218857,62.779282,43.984,0
6.999639,56.641457,100,0
14.995717,69.561775,41.998,0
130.927467,156.656479,54.516,0
272.573914,61,54,0
172.988525,74.195694,39.996,0
187.579102,106.958023,67.997,0
233,56.947983,118,0
93.431755,128.665504,53.975,0
70.941887,90.724739,50.352,0
237.817245,33,86,0
172.96933,154.104324,51.989,0
275.054291,179,46,0
277,371,45.467,0
120.924736,95.506599,71.974,0
15.50591,64.986198,95.999,0
74.954285,168.067978,81.984,0
213,9.554077,60,0
273,127.432388,96,0
176.997253,23.186943,39.999,0
164.981735,68.913517,41.309,0
181.547897,112.927917,65.995,0
72.93425,28.688597,83.023,0
5.270011,89,104,0
281,198.451141,66,0
88.939644,58.714146,95.67,0
152.980057,22.905533,36.402,0
258.455765,51,74,0
142.965302,38.835663,38.474,0
168.981628,82.459106,85.994,0
84.93689,123.666611,49.978,0
6.99976,95.574173,76,0
235,107.897202,56,0
279,27,44.367,0
56.951149,40.768627,36.818,0
116.104477,40.690647,43.977,0
70.943405,56.731953,89.519,0
289,103,95.309,0
56.949749,30.762001,35.178,0
172.991882,42.961533,45.453,0
188.258301,58.991104,49.999,0
152.980408,20.907189,36.428,0
116.917274,273.973022,64.021,0
269,132.954697,68,0
70.932159,32.67869,44.494,0
154.958893,106.920647,83.986,0
6.99993,104.576233,56,0
4.998507,61.546566,71.999,0
271,85,44.794,0
8.998211,63.856091,85.999,0
100.927544,128.29747,85.975,0
142.939056,154.711334,92.271,0
193.459488,52.998573,76,0
84.928787,6.662719,81.618,0
66.951504,80.770302,37.259,0
112.503632,42.654808,53.974,0
65.391453,32.680935,53.976,0
67.965443,56.700882,49.978,0
115.892075,36.736868,91.98,0
76.935295,84.461716,79.977,0
38.999077,230.995636,63.368,0
271.838043,365,48,0
285,90.562386,80,0
22.99918,137.114151,38,0
138.938339,108.707985,56.925,0
78.939362,38.712811,31.193,0
200.769455,162.500076,98.136,0
178.929733,362.949615,101.9753,0
172.966324,154.840515,60.785,0
297,65,48.29,0
112.051796,26.665367,69.975,0
138.959778,42.809521,39.028,0
144.964172,100.830338,29.131,0
118.920319,161.99649,77.972,0
279,81,43.357,0
100.936028,17.888081,87.978,0
74.940712,72.7799,87.979,0
251,278.204987,70,0
235,19,81.706,0
257,78.283829,42,0
8.999834,66.999218,103.7052,0
249,144.033401,58,0
279.610138,163,88,0
265,68.523212,42,0
253,27,40.525,0
208.999725,146.998734,102.3325,0
178.992798,83.24501,95.997,0
108.927208,90.146309,45.974,0
279,165,91.543,0
70.109138,52.719585,85.979,0
276.124359,49,58,0
5.38937,62.991924,59.999,0
114.937157,24.702354,41.654,0
134.9319,122.677444,58.097,0
64.948315,64.755203,38.599,0
74.137886,46.655922,65.974,0
92.943687,42.733295,99.15,0
132.951385,50.239407,39.983,0
204.100998,43,64,0
186.994598,80.974442,63.019,0
252.187683,31,98,0
116.564034,52.662403,53.975,0
239.000015,35,121.1562,0
268.661072,57,44,0
291,166.384933,66,0
217,50.364086,72,0
150.398087,96.831673,35.988,0
117.729134,36.688795,75.977,0
200.997528,124.147392,57.999,0
257,65.362846,82,0
102.925316,133.326157,53.974,0
126.93808,53.480843,73.978,0
159.266998,106.857521,95.989,0
143.484207,134.728043,89.98,0
64.948959,66.758266,38.408,0
211.938187,177.969238,72.409,0
295,367,40.776,0
84.927261,96.886284,69.974,0
50.978554,138.898422,90.133,0
196.724411,33,58,0
257,71,40.578,0
273,53,42.326,0
211,7.87283,56,0
264.07019,150.709,93.409,0
184.999954,10.999819,37.659,0
248.257278,45,74,0
114.931053,112.673431,43.148,0
135.94548,243.25058,93.096,0
12.997066,68.01339,37.999,0
247,65,92.819,0
259,119.246056,82,0
221,49,121.7895,0
18.594795,76.972694,81.998,0
74.935982,14.696771,87.055,0
116.930794,178.672211,47.974,0
303,355.687775,36,0
58.961826,126.819191,62.353,0
275,75,43.323,0
152.920853,343.638916,91.972,0
239.000015,71.647987,70,0
227,163,99.294,0
253,35.501614,60,0
146.956757,68.795174,74.771,0
124.938698,94.709671,40.169,0
214.186584,29,90,0
108.764267,16.657213,65.975,0
204.999542,122.053398,92,0
48.67646,152.905777,67.993,0
7,77.240494,110,0
283,181,52.394,0
252.999008,400.99527,45.614,0
66.941292,15.335136,87.979,0
241,93,95.746,0
295.775787,195,70,0
271,101,97.701,0
110.781921,42.729012,29.98,0
208.435104,39,76,0
108.921318,132.259277,77.972,0
248.996735,364.348022,69.999,0
255,89,93.802,0
144.946121,142.744843,95.776,0
80.929222,6.664767,81.529,0
202.99086,366.773407,67.983,0
255,79.013046,74,0
104.922073,132.630882,59.608,0
20.996593,107.48201,45.999,0
273,87,85.831,0
112.74884,32.658291,65.975,0
180.962921,222.829941,52.845,0
189.955368,108.979317,95.998,0
176.379501,24.987373,35.999,0
48.975513,131.118233,57.991,0
234.918137,21,70,0
68.951481,114.770203,47.854,0
188.997253,68.986977,56.349,0
166.95961,160.847855,87.986,0
230.999985,31.658331,120,0
196.999802,98.9991,105.1917,0
269,23,43.405,0
116.931679,106.676422,43.06,0
144.965958,44.838772,39.212,0
12.997256,67.231106,35.999,0
110.942734,40.042747,93.98,0
51.596691,150.897552,83.992,0
120.93045,54.073227,63.976,0
