x,y,z,delta_x,delta_y,delta_z
223.368423,366.9328,45.995,-0.283997,-0.199309,0.937882
168.947968,245.59404,51.982,0.56962,-0.821564,-0.023768
203,61,96.825,-0.146068,0.087644,0.985385
72.997627,348.98877,52.822,0.121295,-0.074488,0.989818
204.970459,302.807343,61.99,0.404763,-0.854371,-0.325909
58.960754,188.921478,43.994,0.536501,-0.395437,-0.745517
19.458169,82.970123,75.998,0.886999,0.210208,0.411151
62.946972,48.748848,37.494,-0.001356,-0.050306,0.998733
163.441803,237.376404,73.274,0.93523,-0.345176,0.078726
223,8.190521,54,0.284114,-0.76772,0.574357
140.931763,158.616074,83.976,-0.579629,0.754163,-0.308656
52.999996,401,64.875,-0.016145,0.096514,0.995201
260.010971,289,70,-0.565607,0.82365,-0.041097
114.638039,36.669096,71.975,0.861077,-0.035415,-0.507239
179.150681,82.95726,87.997,0.20312,-0.978677,-0.030543
229.82016,61,94,0.034705,0.996767,0.072461
211,33,91.085,-0.647908,-0.346783,-0.678201
199,9,46.506,-0.33902,-0.143234,0.929812
271,53,49.151,0.484467,0.128811,-0.865274
67,389,63.661,0.021084,-0.371861,0.928049
70.979752,218.904114,42.701,-0.14406,0.164325,0.97583
299,74.393478,48,-0.167016,0.122293,0.978341
295,105,90.112,0.762227,-0.326985,0.558652
219,16.629642,80,-0.385411,-0.782794,0.488561
259,123.008255,78,-0.65333,0.650682,0.387004
301,91,50.906,0.328742,-0.529868,0.781772
230.999985,17.309198,94,-0.018138,-0.974012,-0.225768
251,69.925285,84,0.002113,0.648359,-0.761331
274.478363,45,56,0.852279,-0.523027,-0.007996
235,18.274841,92,0.181137,-0.878906,-0.441264
74.549965,180.828491,95.987,0.632224,-0.772286,0.062194
76.134354,40.650261,69.974,-0.980205,-0.192731,-0.045301
188.981995,184.882507,47.994,-0.594445,0.474649,0.649109
235,65,89.031,-0.306518,0.729858,0.611027
238.984283,397.762421,71.994,0.877026,-0.466898,0.113279
90.979347,328.902191,58.633,0.439948,0.302433,0.845565
16.990132,22.953268,29.095,0.150708,-0.116177,0.981728
217.482147,59,74,0.703532,-0.704458,0.093706
170.923248,353.948486,93.973,0.429013,-0.762105,0.484916
233,19,102.6482,0.130635,-0.936562,0.325249
207,65,97.056,-0.237085,0.095077,0.966825
267,85.651466,80,0.13542,-0.964323,0.227472
229.269882,109,44,-0.375472,-0.356894,0.855364
74.169495,94.696526,63.977,-0.620628,0.775203,0.117819
289,69,46.895,-0.24067,0.209485,0.947731
158.978256,52.897018,42.381,0.057508,0.057033,0.996715
259,7,44.45,-0.132157,0.002583,0.991225
134.948792,90.550514,37.982,0.042029,0.884722,-0.46422
81.880592,146.832947,111.9876,-0.539938,-0.113113,0.83407
228.765579,65,86,0.972315,0.203719,-0.114461
217,47,120.8287,-0.37146,0.070704,0.925753
211,45,113.678,-0.886645,-0.050197,0.459719
242.992798,360.361389,93.997,0.139731,0.943216,-0.301362
152.404282,162.757263,45.982,-0.232225,0.954026,-0.18949
83.931374,172.768433,47.983,-0.681915,0.698235,-0.217853
203,81.81118,84,-0.270972,0.953076,-0.13498
7,216.649445,40,-0.047252,-0.354065,0.934026
5,397,77.461,0.443859,-0.771429,0.455946
249,191.55072,40,0.609868,-0.167105,0.774685
283,197.485886,62,-0.064662,0.997907,3.90E-05
285,21,45.423,0.026362,0.076731,0.996703
81.626617,36.684998,35.977,-0.805228,-0.230549,-0.54631
293,9,44.261,0.179907,-0.394911,0.900932
275,127.885811,100,0.214069,0.950558,0.224977
70.93589,23.79483,83.977,-0.350641,0.390217,0.851341
130.787033,56.725029,75.98,0.744901,-0.665707,-0.044232
217,55,88.98,-0.22348,-0.391604,-0.892582
243,40.354198,112,0.964042,-0.173328,0.201445
241.319473,144.28566,90.3,-0.054462,-0.927389,0.370113
208.951874,51,72,0.358859,-0.726595,0.585901
219,37,118.7297,-0.469613,-0.295209,0.832055
82.984749,324.927765,63.167,0.359251,0.176732,0.916354
245,57,104.916,0.603486,0.464916,0.647809
194.724625,86.990143,61.999,0.737709,0.669271,-0.088665
25,183,34.621,0.223822,-0.125219,0.966553
67.744633,42.696125,45.977,-0.931736,-0.343065,0.119058
271,15,44.918,-0.12906,0.1079,0.985749
247.064285,187.611725,70.784,-0.218216,0.870367,0.441411
198.998566,124.993202,100.9009,-0.003644,-0.700282,0.713857
16.966498,52.972591,31.998,-0.540587,-0.151558,0.827524
225,22.04435,112,-0.402065,-0.696664,0.59414
267.923737,347,64,0.769703,0.186287,-0.610618
50.714672,126.894035,41.992,-0.542797,-0.23573,0.806103
277,135.381744,70,0.035021,0.967618,-0.249976
98.944389,36.736603,98.894,0.241484,0.201521,0.94925
206.086823,45,96,-0.861591,0.15561,-0.483162
40.95816,10.32177,39.985,-0.151182,0.97698,-0.150513
73.895172,6.684893,83.977,0.639809,-0.636203,0.43115
14.993265,36.9681,31.155,-0.015064,-0.125321,0.992002
230.999985,56.063164,72,-0.44674,0.645435,0.619546
259.749374,402.999725,46,-0.153872,0.314905,0.936567
76.943459,90.732185,39.437,-0.21452,-0.160263,0.963482
60.976879,196.101044,77.992,0.836056,0.532366,0.132654
146.935654,166.583527,57.977,-0.21455,0.968207,-0.12862
261,61,91.046,0.502575,0.094381,0.859367
255,78.193398,44,0.339303,-0.934686,0.105997
182.976135,190.886963,45.376,-0.055204,-0.063061,0.996482
12.998372,91.823746,81.999,0.57183,0.763965,0.298945
126.946548,48.746849,38.724,-0.246084,-0.307783,0.919082
229,16.947102,84,0.043483,-0.773402,0.632423
297,39,46.173,-0.05364,-0.124906,0.990718
114.948235,67.509624,101.9818,-0.194568,-0.386526,0.901522
291,305.0867,52,0.290965,0.438333,0.850414
257,52.10379,86,0.472383,-0.736623,-0.483984
259.431046,63,78,0.523711,0.790708,0.317029
210.438278,27,80,-0.641426,-0.170164,0.748075
99.688972,80.683365,91.977,-0.62085,0.247833,0.743723
236.430862,59,110,0.394643,0.806606,0.44005
223.207687,73,92,0.393552,-0.007346,0.919273
108.935158,228.06311,57.977,0.092237,-0.84853,-0.521046
221.177124,107,74,-0.501481,0.637543,0.584856
115.490402,40.701523,39.978,0.966411,0.122095,-0.226146
124.934433,54.16087,67.977,0.253368,-0.960379,-0.116087
146.956696,70.240097,75.985,0.361636,-0.615132,0.700594
206.581421,47,102,-0.919387,0.324844,0.22182
253,227.000015,45.273,0.087507,-0.18055,0.979665
146.964218,75.537491,93.987,0.427909,-0.533137,0.729834
289,185,97.189,0.121014,-0.185914,0.975085
106.970383,372.269897,65.99,-0.147773,0.855706,-0.495913
292.934296,327,36,0.480397,0.865157,0.143953
88.946373,165.740555,95.981,-0.242828,0.668756,0.702709
223,159,101.0336,0.148748,0.141685,0.978672
138.851242,34.819031,37.987,-0.176743,0.038639,0.983498
301,48.611889,48,-0.096532,-0.087073,0.991514
200.960922,348.122498,55.986,-0.118444,0.853334,0.507732
124.949997,34.763176,34.351,-0.155423,-0.347238,0.924808
243.590546,39,116,0.894875,-0.323473,-0.307513
56.980415,177.377335,49.993,0.311297,-0.870995,-0.380081
6.999508,67.434666,32,-0.470227,-0.873432,0.126505
112.936775,13.102801,41.978,0.58973,-0.695267,0.410879
68.999981,394.999908,67.031,-0.28534,-0.478255,0.830574
106.934486,86.68972,93.724,-0.291488,0.513395,0.807131
287,29,45.228,-0.022397,-0.060694,0.997905
92.138618,354.904205,75.993,-0.790037,-0.278136,0.546335
7,171,36.814,-0.066091,-0.054878,0.996303
232.988983,346.947845,105.3331,-0.534267,0.358969,0.76531
249,11,42.635,0.019506,0.309881,0.950575
19.858505,76.964943,75.997,0.894934,-0.064569,0.441501
259,27,41.931,-0.135245,0.061818,0.988882
148.942474,164.004852,49.98,-0.139363,0.918199,-0.370794
267,371,46.589,-0.175129,0.217559,0.960207
253.425583,39,66,0.511874,-0.670965,0.536461
295,55,47.055,-0.188086,-0.092315,0.977805
285,65,46.524,-0.292095,0.103458,0.950777
251,197.887634,50,0.849802,0.509878,0.133642
64.981068,188.910324,37.429,-0.322509,-0.144775,0.935429
194.798004,39,44,-0.982963,0.058823,0.174136
44.964336,26.702328,29.987,-0.169334,-0.314169,0.934143
98.924103,10.640517,70.305,0.879926,0.086103,0.467243
194.998947,90.995041,41.046,0.013293,-0.016903,0.999769
172.927338,376.655823,105.5588,0.130678,-0.01993,0.991225
172.295212,244.434326,68.223,0.663532,-0.744663,0.072128
233,47,123.6636,-0.089108,0.257841,0.962069
161.48494,42.918537,41.994,-0.265733,-0.122081,0.956286
213.011215,51,114,-0.776447,0.548553,0.310193
148.960938,67.451984,49.986,0.27255,-0.931223,-0.241952
158.980026,44.905403,41.714,-0.173532,-0.169551,0.970123
220.969269,387.93866,65.989,0.479493,-0.708485,-0.517818
172.93222,297.867432,89.976,0.243237,-0.78131,0.574797
70.992958,308.023224,55.998,-0.570943,-0.679419,0.460883
301,25,44.474,0.184554,0.063988,0.980737
264.534332,126.999992,80,-0.600983,0.715624,0.355951
242.001251,53,114,0.829565,0.522663,-0.196584
259,323,58.53,0.177163,-0.784929,0.593716
255,23,40.735,-0.357917,-0.06632,0.931395
144.967468,38.845924,38.576,-0.020665,-0.063986,0.997737
301,7,41.351,0.191916,-0.30337,0.933346
273,84.648056,76,0.060153,-0.930514,0.361283
267,61,68.689,0.639821,0.040065,0.767479
8.167609,93,98,0.738574,0.511387,0.439308
297,45,46.998,-0.158042,-0.127708,0.979139
134.938629,100.709328,50.629,0.015024,0.685063,-0.728328
88.968964,267.880493,51.989,-0.464556,0.885241,-0.023157
36.973732,36.15395,31.991,-0.093385,-0.3634,0.926941
27,400.171356,70,0.431643,-0.244929,0.868156
194.999786,53.976547,62,-0.577714,-0.815722,-0.029057
192.098785,74.990143,71.999,-0.75266,0.595608,0.280633
289,181.631699,52,-0.009601,-0.256618,-0.966465
120.946388,10.746075,38.994,0.012908,0.092526,0.995627
40.999432,232.342072,48,0.242561,0.968367,-0.058557
281,145,51.264,-0.021401,-0.118935,0.992671
94.945274,160.740799,101.058,-0.048,0.474928,0.878715
7,177,37.481,0.113946,-0.11669,0.98661
220.362076,63,92,0.631249,-0.181261,0.754101
191.366745,62.996231,86,-0.984492,-0.167411,0.052433
191.54187,56.995201,70,-0.888241,-0.419717,-0.186722
229.540237,73,84,0.94525,-0.227384,0.234092
99.946533,132.663101,49.975,0.476612,-0.878687,-0.027395
263.164642,79,72,0.408667,-0.589117,0.697088
267,197,39.852,-0.246939,-0.128921,0.960417
235,87.885445,92,-0.095477,-0.617909,0.780431
113.831017,328.757782,65.985,-0.565237,-0.775756,-0.280554
193.554398,46.999504,50,-0.85505,-0.199504,0.478631
104.936928,4.701241,34.837,-0.053436,-0.446053,0.89341
225,13.945528,78,-0.133343,-0.990771,0.024327
58.946194,26.327894,35.981,-0.395789,0.133459,0.908592
235.639511,23,80,0.998085,0.057878,-0.021844
251.419891,319,56,0.223808,-0.721626,0.655107
273,59,43.3,0.019775,-0.054375,0.998325
229.594437,69,74,0.660474,-0.625416,0.415486
154.984604,6.927078,36.95,0.229834,0.377951,0.896844
225,59,85.51,0.014978,-0.192992,-0.981086
176.926086,355.751404,93.974,0.087702,-0.954241,0.285888
253,69.105934,46,0.235323,0.957041,-0.169397
267,197,69.112,-0.496006,0.818667,-0.289418
239.000015,245.199051,66,0.246288,-0.547121,0.800001
119.623131,170.675964,45.976,0.838971,0.401895,-0.36689
160.984009,34.924229,41.2,-0.57671,0.053294,0.815209
154.959854,146.80983,102.745,0.227698,0.233314,0.945367
88.927605,91.514267,79.975,-0.100324,0.897348,0.42977
86.945313,180.097229,55.981,-0.589404,0.74854,-0.303793
194.142227,37,48,-0.979402,0.024703,-0.200401
197.417984,15,46,-0.63255,-0.068458,0.771488
229,79,88.41,0.637198,-0.267204,0.722897
261,129.000008,48.389,0.031193,-0.058327,0.99781
172.993607,29.542662,45.998,0.00174,0.063537,0.997978
230.999985,6.38986,48,0.245915,-0.49599,0.832778
163.588684,226.113937,52.071,-0.27497,0.133852,0.95209
58.995735,256.979797,42.996,0.199307,-0.07407,0.977134
187.322922,74.978806,63.998,-0.834381,0.443965,0.326655
265,85.779259,90,0.075615,-0.957378,0.278763
253,191,37.982,0.434003,-0.153619,0.887718
176.990433,80.954659,41.014,0.451386,-0.418507,0.788101
276.839966,63,44,-0.235677,-0.060958,0.969918
243.48143,69,90,-0.35867,0.52978,0.768563
267,77,66.727,0.623021,-0.398319,0.673191
108.930969,110.67305,42.227,-0.071387,-0.004112,0.99744
227,105,41.485,-0.298553,-0.301469,0.905529
295,79,46.917,-0.2572,0.021359,0.966122
186.999756,28.998846,40.7,0.172973,-0.273213,0.946274
82.982201,310.91568,61.132,-0.197489,-0.177408,0.964118
106.935005,160.692169,97.365,0.435186,0.494905,0.752119
50.991955,225.045563,73.997,0.015898,0.575899,0.817366
230.999985,213,52.725,0.027915,0.284739,0.958199
205.213455,41,70,-0.772791,0.468292,0.428365
186.997055,76.986084,40.713,-0.134671,0.17522,0.975275
68.527645,324.975922,69.998,0.362511,0.244619,0.899304
168.990372,32.954412,45.114,-0.191227,0.160923,0.968264
196.999542,80.40934,86,-0.574204,0.7985,-0.180797
265,13,44.569,-0.079147,0.057956,0.995177
259,49,70.636,0.439719,-0.599803,0.668494
273.565521,203,44,-0.406292,-0.142629,0.902543
56.987949,216.942932,93.931,0.611099,0.431825,0.66339
295,132.524811,62,0.569814,0.803118,-0.174107
295,173.963486,86,0.152551,-0.984378,0.087909
140.923492,343.737854,87.975,-0.55437,-0.685125,0.472523
174.957703,202.824478,50.73,0.216259,-0.363652,0.906085
194.999985,62.999954,94.57,-0.503263,0.040025,0.863206
34.97381,16.875957,26.911,0.098581,-0.145063,0.984499
122.948959,6.758249,39.24,-0.041654,-0.002074,0.99913
84.953201,133.482254,103.9836,-0.27635,-0.959023,0.062489
60.948994,6.758425,92.394,-0.198505,0.5932,0.780199
6.997679,38.989006,30.969,-0.020841,0.344352,0.938609
130.893875,227.543396,60.037,0.124534,-0.917385,-0.378015
70.948769,106.757355,45.225,-0.163168,-0.25183,0.953917
263,23,43.136,-0.111553,0.163542,0.980209
261,309,52.999,0.063211,-0.189198,0.979902
46.281059,192.984756,111.9989,-0.70725,0.075237,0.702949
182.929306,356.184387,89.975,0.273685,-0.959205,-0.070873
289,83,45.159,-0.296007,-0.001035,0.955185
279,202.093216,86,-0.108046,0.671502,0.733083
245,7,43.312,0.145614,-0.163234,0.975783
148.949661,100.761597,69.072,0.082229,-0.012859,0.99653
144.932693,160.060043,77.976,-0.61099,0.770063,0.18356
24.985594,36.931765,31.474,-0.059412,-0.310735,0.948638
174.92601,348.043945,75.974,0.797922,-0.583639,0.150619
70.583557,72.703293,75.978,-0.967244,0.213522,-0.137285
265.928345,49,46,0.823728,-0.320417,-0.467767
257.039597,193.377029,78.029,-0.526658,0.764849,-0.370996
221.398773,101,80,-0.396601,0.675224,0.621916
275,5,47.187,-0.129411,0.232,0.964069
180.927719,355.693726,81.975,0.462809,-0.885326,0.044779
257.149918,37,48,0.382835,-0.860618,-0.335818
295,57,47.267,-0.138535,-0.127299,0.982142
50.954979,5.631175,89.984,-0.26627,0.505744,0.820563
38.982796,92.918518,37.756,0.086434,0.078624,0.99315
189.465378,104.975502,89.998,0.976556,-0.058255,-0.207231
245,13.742786,42,0.420841,0.431226,0.798083
5.102677,141,44,0.316841,-0.194815,0.928256
291,15,45.771,0.027505,-0.008214,0.999588
289,135.493118,66,0.252361,0.958113,0.135399
27.548407,219,90,-0.796705,0.446533,0.407272
44.99091,162.95694,40.661,-0.074187,0.190985,0.978785
245,65.090786,76,-0.429812,0.879615,0.203813
255,43,68.392,0.45103,-0.534706,0.714605
289,365,43.095,0.270557,-0.109748,0.956428
242.988144,189.040619,67.068,-0.205917,0.836467,0.50786
257.243073,193.831451,82.024,-0.688853,0.708395,0.153814
301,379,42.603,0.116612,-0.290822,0.949644
243.486374,31,68,0.705827,-0.599735,0.376997
224.988678,307.887146,99.996,-0.053861,-0.821763,0.567278
285,337,38.32,0.776832,-0.185098,0.60189
88.96077,262.814178,85.866,-0.212613,0.346169,0.913763
211.52034,176.968948,82.236,-0.398879,0.873333,-0.279615
190.997711,92.989136,95.082,0.418523,-0.592463,-0.68835
88.924316,96.349503,67.973,0.259699,0.965498,-0.019253
227.345062,191,52,-0.503363,-0.285623,0.815503
236.807648,402.902252,79.993,0.911341,-0.065532,0.406403
273,55,65.285,0.547114,-0.193869,0.814298
164.955048,159.275925,79.984,0.628078,0.755288,0.187236
269,45,39.911,0.08112,-0.113882,0.990177
200.987518,210.940887,51.095,-0.063884,-0.118744,0.990868
83.568611,18.679154,85.976,0.127149,-0.217785,0.967679
225.839111,71,90,0.677377,-0.124445,0.725034
128.916061,229.41127,55.998,-0.193088,-0.96257,-0.190203
301,395,40.382,0.415433,0.540149,0.731885
75.099861,168.776947,75.983,-0.482346,0.872828,0.074252
201.827316,171.929657,68.695,-0.58602,0.79088,-0.176323
281,365,44.973,0.296419,0.103703,0.949411
247,27,92.511,0.508402,-0.187714,-0.840411
48.992447,216.964233,81.462,0.453624,0.051104,-0.889727
88.940994,133.543915,93.979,-0.155647,-0.858007,0.489487
273,402.716919,42,0.283378,0.676988,0.679253
271,129.000008,84.454,-0.38039,0.793031,0.475821
219,43,121.0406,-0.306621,-0.222736,0.925404
50.973461,134.874298,72.614,-0.475757,-0.687255,-0.548941
271,79.042282,60,0.844937,-0.429944,-0.318166
253,85,88.924,0.135053,-0.787181,0.601753
142.962479,96.822311,29.587,-0.139318,0.298297,0.944251
275,47,40.993,-0.253736,-0.201981,0.94595
44.970978,62.862537,34.551,-0.041424,-0.006956,0.999117
42.994953,174.976105,37.291,-0.226916,0.241725,0.94344
265,73,67.029,0.610736,0.061972,0.789406
195.990997,57,94,-0.635936,-0.381652,0.670766
99.169235,90.650887,83.974,-0.267774,0.963211,-0.02284
148.847229,277.901154,80.783,-0.432963,0.53746,0.723657
194.945374,340.342194,75.981,-0.309053,0.939891,-0.145227
247,83,87.718,0.130848,-0.794285,0.593288
254.723633,190.737396,85.339,-0.511943,0.756627,0.40673
225.110855,61,108,-0.385716,0.832272,0.398178
204.948532,370.812317,89.982,0.351288,-0.873517,0.336995
251,73,40.852,0.25121,0.361216,0.898007
180.996811,42.984882,44.809,0.286667,-0.133401,0.948697
215,87,86.91,-0.092737,0.349722,0.932252
225,19,91.787,-0.251737,-0.894783,-0.368772
136.95195,62.861027,85.983,0.542618,-0.786714,-0.294358
200.991852,176.961426,54.3,0.063866,0.133013,0.989054
56.976685,177.456009,69.992,0.755042,-0.655151,-0.026241
297,93.99762,76,0.44574,-0.596613,0.66736
166.984299,87.1231,99.994,-0.171094,-0.487413,0.856245
234.034683,15,78,0.723388,-0.688456,-0.052327
205.764313,37,102,-0.938567,-0.220117,0.265783
164.976013,73.937042,61.992,0.149088,-0.939803,0.30748
192.997971,80.990395,54.979,-0.651677,0.528818,-0.543755
212.965668,344.425507,77.988,0.127716,0.98665,-0.101042
211,89,84.997,-0.521081,0.437029,0.733131
291,179,52.742,0.007548,-0.287147,-0.957857
58.674847,162.889542,45.992,-0.348492,0.92287,0.163904
82.937775,104.705292,44.796,0.132364,-0.261186,0.95617
41.549732,188.988815,107.9992,-0.631497,0.144856,0.761727
247,222.999985,45.338,0.142397,-0.084549,0.986192
161.560806,220.113052,52.163,-0.11474,0.079758,0.990189
287,25,45.159,0.012608,0.042283,0.999026
166.450165,278.671814,89.976,-0.432643,0.375042,0.819856
132.952835,44.776627,39.199,-0.137326,-0.257997,0.956336
62.969898,156.875992,91.989,-0.431961,0.718342,0.545339
263.414673,69,70,0.608438,0.346544,0.71394
232.996872,165.22789,97.534,0.002491,0.251341,0.967895
251,32.444405,54,0.38516,-0.912164,0.14003
247,25,38.367,-0.216079,0.026657,0.976012
275,139,50.756,0.020702,-0.056906,0.998165
245.625015,162.08493,98.473,0.078074,0.09584,0.99233
62.977032,173.765335,99.992,0.370429,-0.857591,-0.35682
14.995427,69.38089,43.998,0.441157,-0.893234,-0.08668
186.997452,86.987907,100.1338,0.415765,-0.909471,-0.001159
259.013184,194.818985,77.993,-0.573445,0.662626,-0.481755
96.984734,380.927704,60.819,0.207385,-0.119536,0.970929
213,54.630779,74,0.610328,-0.756432,0.235179
115.546738,26.674492,55.976,0.929089,-0.074432,0.362289
195.429611,29,56,-0.866876,-0.122174,0.483322
267,52.447964,44,0.872703,-0.213818,0.438944
112.946648,72.211517,101.9813,-0.434048,0.096153,0.895744
60.994953,258.976074,42.944,0.049938,-0.114968,0.992113
205.000015,75,93.566,0.044484,0.379077,0.924295
83.495766,240.81871,83.987,-0.635551,-0.266563,0.724582
104.98307,398.919769,56.845,-0.140678,0.234784,0.961814
117.878593,52.719856,35.979,-0.581734,-0.808217,0.091491
69.687218,66.711697,79.979,-0.999396,-0.034751,-0.000787
233,19.985474,86,0.51683,-0.802503,0.29812
246.881821,33,92,0.560722,-0.074431,-0.824652
5.522112,58.99268,77.999,0.568065,-0.740692,-0.358716
280.667694,89,84,0.36902,-0.91869,0.140829
285.141022,83,44,-0.243783,0.068494,0.967408
223,49,82.582,-0.470291,0.717971,-0.513171
134.950134,91.506966,95.982,0.008571,0.742042,0.670298
303,193,67.247,0.211575,0.842157,0.495992
84.936798,76.700653,90.908,0.057337,0.194586,0.979208
271,79,43.104,-0.105749,-0.138931,0.98464
30.983374,58.921253,35.701,-0.101823,0.129607,0.986324
190.318207,80.983238,63.999,-0.563854,-0.030071,0.825327
77.039711,40.708965,89.978,-0.691171,-0.443748,0.570413
277,85,43.463,0.10128,-0.062891,0.992868
271.730927,41,56,0.71209,-0.700185,0.051658
247,105.442375,92,-0.668333,0.708402,0.226931
281,343,48.25,0.5696,-0.100701,0.81573
207.623108,59,98,-0.256964,0.12701,0.958039
128.876373,274.116486,58.104,0.363406,0.931609,0.0064
194.204865,44.999992,44,-0.885526,-0.456852,-0.084437
219,15.090138,72,0.007931,-0.995634,0.093004
97.084175,42.727318,97.98,0.275113,0.184664,0.943511
32.995811,142.980164,38.916,0.135653,-0.156908,0.978253
245,26.889368,108,0.839701,-0.41197,0.353811
22.880407,76.952003,71.996,0.814689,-0.170239,0.554347
178.996811,32.984798,44.753,0.353348,0.017493,0.935328
24.974197,5.011191,41.991,-0.672658,0.737735,-0.057259
60.957211,78.797325,36.769,-0.039675,0.12452,0.991424
208.769882,176.515533,78.508,-0.293667,0.938239,0.182938
42.983932,140.923889,59.449,-0.942324,-0.20552,-0.264174
267,196.092117,64,-0.198853,0.976666,-0.081123
229,59,115.1702,0.056881,0.92085,0.385746
217,84.554947,88,-0.054701,0.442168,0.895263
45,375,58.941,-0.155091,-0.260721,0.952875
66.968357,180.850128,86.913,0.66053,-0.512056,-0.549089
256.610611,187,36,0.466637,0.391262,0.793199
82.95816,219.910004,61.985,-0.410097,-0.848396,0.33473
191.111206,56.994549,60,-0.664766,-0.746264,-0.034291
22.982763,4.952421,25.994,-0.066931,-0.34412,0.936537
18.99114,68.181629,59.997,0.448294,-0.874711,0.184157
295,83,47.026,-0.262642,-0.092443,0.960455
76.94059,36.718603,30.528,0.035457,-0.213136,0.976379
198.987869,190.94252,55.556,0.080887,0.491405,0.867167
191.147766,90.982513,79.999,0.869447,-0.477397,0.127098
267,75.730988,42,-0.221585,-0.081478,0.971731
55.163834,4.77712,91.983,-0.275652,0.568175,0.775366
76.955811,165.165421,91.984,-0.44116,0.775788,0.451144
80.982933,302.919159,59.134,-0.407753,-0.199523,0.891026
206.791412,83,88,-0.204578,0.888015,0.411799
22.999071,132.995605,36.494,-0.060814,-0.205638,0.976737
285,97.991028,94,0.353901,-0.573675,0.738682
241,6.196507,44,0.292351,-0.230702,0.928067
245,31,90.951,0.481413,-0.07608,-0.873186
263,85.243988,88,0.078985,-0.98454,0.156342
40.954025,12.782246,60.466,-0.685984,0.701284,-0.193979
48.998856,250.994583,44.535,0.044674,-0.100473,0.993936
217.88562,380.877411,53.991,0.725427,-0.5947,0.346537
215,22.642784,100,-0.545857,-0.775097,0.318222
42.996723,178.984482,110.0712,-0.567851,0.040662,0.822126
202.999985,82.999939,78.229,-0.600663,0.629537,0.492836
